HadCOPD,AlcoholDrinkers,SmokerStatus,GeneralHealth,DifficultyWalking,HadDiabetes,HighBloodPressure,HadStroke,BlindOrVisionDifficulty,AgeCategory,HighCholesterol,HadKidneyDisease,Sex,HadAngina
-0.03829782,0.048477728,0.12062926,0.065034166,-0.029651735,-0.065767996,0.27507812,-0.09975572,-0.017700816,0.15892649,0.13959284,-0.028360752,-0.3832539,-0.57678753
-0.020297382,0.20445971,-0.13897435,-0.37763062,-0.17945598,-0.119038396,-0.40794444,-0.123715214,-0.035307586,-1.0364246,-0.12720045,-0.02672595,0.35771,-0.7017177
0.16085844,0.076231234,-0.34015006,0.24305414,0.11961966,0.1621019,0.09439676,-0.07457225,-0.026240312,0.10787897,0.038396057,-0.006000521,-0.3339261,1.9282207
-0.0060034934,0.10354573,-0.23918346,0.3712169,-0.052697204,-0.098260224,-0.16143307,-0.0932253,0.00051609223,0.597094,-0.09080543,-0.01474339,0.36212966,-0.5532095
-0.024937509,-0.085317604,-0.22582488,-0.3487588,-0.068461984,-0.08421508,-0.22380248,-0.106163226,-0.008584726,0.3897344,-0.1252957,-0.019679448,-0.40359205,-0.6166772
-0.042600464,0.10045566,-0.21728873,0.027337203,-0.07125713,-0.08135578,-0.32074943,-0.08511765,-0.018258825,-0.400652,-0.12969244,-0.027079294,-0.38319686,-0.6827227
-0.041918926,-0.12755424,-0.24377207,-0.37967548,-0.06935925,-0.063239336,-0.35672337,-0.088703096,-0.018068595,-0.43337438,0.12086602,-0.030008664,-0.355227,-0.7018356
-0.023739276,-0.15636997,-0.20821749,-0.3609951,-0.10204123,-0.082337,-0.37097147,-0.120730765,-0.04183066,-1.449292,-0.12149587,-0.03391251,-0.33226588,-0.6958901
-0.04085596,-0.14254035,0.08496634,-0.806886,-0.08839036,-0.06851015,-0.38958848,-0.10232891,-0.024517672,-0.36213505,-0.13972515,-0.030047927,-0.35421968,-0.7659605
-0.013991134,-0.10844726,-0.21202362,-0.3099792,-0.070907734,-0.10458281,-0.19280678,-0.102336526,-0.0057260697,0.47233456,-0.15292282,-0.018278196,0.3535871,-0.5986244
0.12922002,0.08408558,0.44252524,0.33769742,-0.043528948,-0.093526654,-0.30021018,-0.08792354,-0.03236054,0.072743,-0.19107264,-0.036967073,-0.3450688,-0.61184996
-0.027274782,-0.06379705,-0.19095972,-0.28044444,-0.03420769,-0.06823039,0.20129277,-0.10008413,-0.015716545,0.88250846,0.13127886,-0.01689618,-0.35303628,-0.5415129
